doi,fields
10.2307/1073245,Political science_Law_Damages
10.2307/2624121,Political economy_Government_Political science_European integration_Nuclear force_Deterrence theory
10.1007/bf02027569,Biological pest control_Mode of action_Larva_PEST analysis_Teucrium_Diterpene_Colorado potato beetle_Solanaceae_Botany_Biology
10.2307/1963217,No data.
10.1007/978-1-349-21720-5_9,No data.
10.7312/lebo90812-004,No data.
10.1111/j.1439-0418.1991.tb01046.x,No data.
10.1007/978-1-349-10502-1_1,No data.
10.1111/j.1570-7458.1992.tb00666.x,Intraspecific competition_Shoot_PEST analysis_Boronia megastigma_Honeydew_Homoptera_Thysanura_Botany_Nymph_Biology
10.5860/choice.27-0555,No data.
10.5840/swphilreview19917110,Sociology_Morality_Deterrence theory_Criminology
10.1007/978-1-349-12180-9_10,Political economy_Political science_Nuclear weapon_Nuclear force_Adversarial system_Deterrence theory_Economic system
10.3886/icpsr09324,No data.
10.1016/0031-9422(96)00221-x,Chemical structure_Diterpene_Arbacia punctulata_Diadema_Scarus_Arbacia_Herbivore_Algae_Botany_Biology
10.1007/bf00979619,Biological pest control_Integrated pest management_Host (biology)_Trap crop_Biotechnology_Ecology_PEST analysis_Delia antiqua_Push–pull strategy_Allelopathy_Biology
10.21236/ada311924,No data.
10.5860/choice.28-4759,No data.
10.2172/5495888,No data.
10.1017/s0021223700010487,Retributive justice_Sociology_Law_Deterrence theory
10.1093/icc/2.1.249,No data.
10.1093/icc/2.2.249,Competitor analysis_Business_Multimarket contact_Industrial organization_Deterrence theory
10.1017/s0020743800059262,No data.
10.1177/0193841x9401800402,Psychology_Censoring (statistics)_Recidivism_Imprisonment_Prison_Substance abuse_Criminology
10.1080/00050069208257590,Self-efficacy_Psychology_Cognition_Self_Expectancy theory_Protection motivation theory_Intervening variable_Fear appeal_Coping (psychology)_Social psychology
10.1117/12.235451,Engineering_Digital watermarking_Optical engineering_Watermark_Counterfeit_Computer security_Upload
10.3759/tropics.6.459,Ecology_Damages_Animal management_Biology
10.1177/0003603x9403900301,Political science_Law and economics_Law_Commission_Doctrine
10.1111/j.1570-7458.1996.tb00878.x,No data.
10.2307/2164345,No data.
10.1007/978-1-349-21720-5_2,Security policy_Political science_Nuclear weapon_State of affairs_Pace_Alliance_Cruise missile_Public administration_International relations_Collective security
10.1002/mde.4090160610,Philosophy_Humanities_Law and economics
10.2307/2168833,No data.
10.1080/00050069608260169,Psychology_Sentence_Remorse_Deterrence theory_Criminology_Social psychology
10.14394/etyka.343,Offensive_Political science_Law and economics_Nuclear weapon_Surrender_Cruise missile_Military establishment_Deterrence theory
10.1007/978-1-349-20165-5_17,No data.
10.1177/104515959000200309,Lifelong learning_Psychology_Pedagogy_Postsecondary education_Individual development_Adult education_Addiction_Literacy_Goal orientation
10.1111/j.1533-8525.1989.tb01531.x,Sociology_Collar_Social psychology
10.1080/00050069608260200,Psychology_Psychological research_Rehabilitation_Primary response_Behaviour change_Deterrence theory_Criminology_Social psychology_Position paper
10.2470/rf.v1991.n1.4431,No data.
10.1111/j.1570-7458.1994.tb01798.x,Bioassay_Horticulture_Lepidoptera genitalia_Thin-layer chromatography_Spodoptera_African armyworm_Noctuidae_Ethyl acetate_Instar_Botany_Biology
10.1007/978-1-349-11448-1,No data.
10.1177/0022002789033001003,Economics_Microeconomics_Law and economics_Dilemma_Hostility_In kind_Arms race_Deterrence theory_Formal concept analysis
10.1080/09647779409515408,No data.
10.2307/1962869,Political science_Deterrence theory_Economic history
10.2307/2949991,Political science_China_Deterrence theory_Juvenile delinquency_Criminology
10.2307/1962871,No data.
10.7748/ns.4.9.20.s31,No data.
10.21236/ada445572,No data.
10.1016/1053-5357(94)90004-3,Psychology_Risk perception_Clearance rate_Enforcement_Apprehension_Criminal behavior_Arrest rate_Economic research_Deterrence theory_Social psychology
10.1007/978-1-349-20333-8_10,German_Political science_Containment_Law_Negotiation_Czech_Alliance_Western hemisphere_Southern china_Diplomacy_Economic history
10.1177/000486589502800205,Accounting_Economics_Recession_Audit_Commission_Co-regulation_Credibility_Non compliance_Deterrence theory_Generally Accepted Auditing Standards
10.2307/3480909,No data.
10.5840/ipq198929212,Sociology_Morality_Realism_Deterrence theory_Criminology
10.1093/oxfordjournals.esr.a036506,Sociology_Deterrence theory_Criminology
10.5860/choice.27-2941,No data.
10.2307/2203391,No data.
10.1021/ed073pa260.1,Chemistry_Stereochemistry_Photochemistry
10.5860/choice.28-4756,No data.
10.1086/ahr/99.4.1317,No data.
10.1007/978-1-349-11524-2,No data.
10.1017/cbo9780511551598,No data.
10.1080/01495939408402977,No data.
10.2307/2010465,No data.
10.1017/s0265052500004738,No data.
10.2307/3872547,Geography_Polar_Astrobiology
10.2307/1937217,Ecology_Salvia_Salvia columbariae_Botany_Biology
10.1525/jps.1984.13.3.00p0043p,Political science_Deterrence theory_Criminology
10.1002/j.1839-4655.1985.tb00803.x,Project commissioning_Imprisonment_Criminology_History
10.1080/01402398608437279,German_Political science_Law_Federal republic of germany_Deterrence theory_Economic history
10.1177/004057368504200323,Sociology_Theology_Curran_Moral theology
10.1111/j.1468-5930.1987.tb00212.x,Retributive justice_Sociology_Just war theory_Nuclear weapon_Law_Proportionality (mathematics)_Aggression_Culpability_Civilian population_Deterrence theory
10.1177/096701068401500302,Political science_Law_Bishops_Deterrence theory
10.2307/1956320,No data.
10.1300/j013v15n02_04,Smoking cessation_Former Smoker_Quit smoking_Cigarette smoking_Never smokers_Smoking habit_Addiction_Questionnaire_Medicine_Environmental health
10.5840/thought19845915,Economics_Deterrence theory_Criminology
10.1111/j.1540-4560.1987.tb00263.x,Economics_Spare part_Operations management
10.1016/0304-3894(83)80016-8,Nuclear engineering_Engineering_Burn rate (chemistry)_Ignition system_Caliber_Weapon system_Ammunition_Structural engineering_Armour_Propellant_Combustor
10.1016/0047-2352(85)90062-5,Social environment_Positive economics_Engineering_Human factors and ergonomics_Poison control_Social control_Computer security_Suicide prevention_Deterrence theory_Certainty_Operationalization
10.1139/f85-071,Metamorphosis_Salmo_Fishery_Biology
10.1007/978-1-349-10502-1_11,Political economy_Political science_Nuclear weapon_Political change_Speculation_Politics
10.1016/0022-1031(86)90035-1,Psychology_Instrumental and intrinsic value_Personality_Perception_Cheating_Practical implications_Mediation (statistics)_Deterrence theory_Social psychology
10.1007/bf00379363,Mutualism (biology)_Nectar_Foraging_Qualea_Vochysiaceae_Hymenoptera_Aculeata_Herbivore_Botany_Biology
10.1017/s0165115300009475,No data.
10.1086/292681,Sociology_Just war theory_Law_Deterrence theory
10.1017/cbo9780511625145.012,Political science_Law_Morality_Limited war_Harm_Cost effectiveness_Strategic Defense Initiative_Nuclear ethics_Deterrence theory_Criminology_Nuclear energy policy
10.1097/00000658-198703000-00015,Surgery_Cirrhosis_Heparin_Peritoneovenous shunt_Peritoneal cavity_Coagulopathy_Ascites_Clotting factor_Fibrin_Medicine
10.1176/appi.psychotherapy.1985.39.4.515,Competence (human resources)_Psychology_Vulnerability_Mental illness_Physiological Homeostasis_Human research_Coping methods_Psychotherapist_Clinical psychology
10.7202/702142ar,Law and economics_Deterrence theory_Economic history_History
10.1111/j.1095-8649.1992.tb02725.x,Anatomy_Paternal care_Agonistic behaviour_Dentition_Predation_Teleostei_Single row_Interspecific competition_Biology_Predator
10.1126/science.257.5071.725,Political science_National service_Family medicine
10.1127/entom.gen/15/1991/293,Larva_Hymenoptera_Diprionidae_Phyllodecta_Diprion pini_Egg laying_Botany_Biology
10.1017/s0268419500020687,Ancient history_Reign_Sermon_Popish Plot_Empire_House of Commons_Chapel_Spanish Civil War_Politics_History
10.1002/ssu.2980030217,Psychiatry_Medical surveillance_Colorectal cancer_Medicine
10.1007/bf01020159,Larva_Legume_Flavonoid_Lupinus angustifolius_Heteronychus arator_Costelytra zealandica_Botany_Fungicide_Biology_Plant disease resistance
10.5840/monist198770327,Sociology_Law and economics_Normative ethics_Deterrence theory_Criminology
10.1111/j.1570-7458.1989.tb03571.x,Intraspecific competition_Larva_Ecology_Gastrophysa viridula_Chrysomelinae_Phratora vitellinae_Plagiodera versicolora_Phaedon cochleariae_Allelopathy_Botany_Biology
10.1080/03015521.1986.10426128,Bioassay_Horticulture_Larva_PEST analysis_Phaseolus_Lotus_Trifolium repens_Costelytra zealandica_Instar_Biology
10.1007/bf00355165,Philosophy of language_Philosophy_Metaphysics_Law and economics_Philosophy of mind_Maximization_Adversary_Deterrence theory
10.1080/07430178508405196,Advertising_Political science_Credibility_Public relations
10.1007/978-1-349-21208-8_19,Economics_Law and economics_Deterrence theory
10.1177/004056398404500231,Conscience_Moral responsibility_Sociology_Law_Baton rouge
10.1007/bf03008650,Visual analogue scale_Propofol_Chemotherapy_Anesthesiology_Nausea_Vomiting_Antiemetic_Anesthesia_Bolus (digestion)_Medicine
10.1111/j.1467-9248.1987.tb01893.x,No data.
10.1111/j.1467-6435.1986.tb00771.x,German_Humanities_Political science_Profit margin_Competition policy_Manufacturing sector_German industry
10.1017/s0021853700031546,Political economy_Political science_Ancient history_Law enforcement_Colonial administration_Northern nigeria_Colonialism_Politics
10.1111/j.1559-1816.1984.tb02237.x,Psychology_Psychological research_Coping techniques_Target population_Smoking prevention_Adolescent smoking_Coping (psychology)_Social psychology
10.1093/fampra/2.4.235,Medical record_Audit_Epilepsy_Disease_General practice_Neurological referral_Drug regimen_Medical diagnosis_Medical emergency_Medicine
10.1080/00420989020080031,Natural monopoly_Economic rent_Public good_Economics_Factors of production_Local government_Population_Economies of scale_Economic system_Cost curve
10.1016/s1053-5357(05)80005-8,Actuarial science_Economics_Apprehension_Minimum time_Economics of crime_Optimal allocation
10.1086/292665,Ballistic missile_Political science_Law and economics_Nuclear weapon_Strategic defence_Moral obligation_Modern warfare_Public administration_Strategic Defense Initiative_Deterrence theory_Foreign policy
10.1080/00455091.1986.10717159,Political science_Law and economics_Law_Chose_Deterrence theory_Spanish Civil War
10.1139/tcs-1986-0023,Archaeology_History
10.1007/978-1-4899-2787-3_5,Life imprisonment_Nothing_Commit_Economics_Law and economics_Temptation_Statistical proof_Social order
10.1007/978-1-349-18796-6_10,Military strategy_Strategic thinking_Gray (unit)_Political science_Law and economics_Nuclear weapon_Waltz_Confusion_Deterrence theory_Politics
10.1038/324610b0,No data.
10.1007/bf00994220,Lepidoptera genitalia_PEST analysis_Podocarpaceae_Insect_Pectinophora gossypiella_Podocarpus gracilior_Heliothis zea_Botany_Biology
10.1086/292654,Political science_Law and economics_Nuclear weapon_Morality_Conviction_Faith_Purgatory_Democracy_Deterrence theory_Politics
10.1017/s0165070x0001322x,No data.
10.1037/e731492011-001,No data.
10.2307/2600418,Positive economics_Psychology_Conventional wisdom_Critical assessment_Deterrence theory_Social psychology
10.1177/002188638502100209,Psychiatry_Locus of control_Unemployment_Rehabilitation_Disease_Reimbursement_Dialysis_Population_Health policy_Medicine_Gerontology
10.1111/j.1570-7458.1987.tb00549.x,Medicinal chemistry_Pyrogallol_Myzus persicae_Phenols_Gallic acid_Pisum_Pedunculagin_Acyrthosiphon pisum_Ellagic acid_Botany_Biology
10.1017/s0008423900023283,No data.
10.1192/pb.10.7.165,Psychoanalysis_Philosophy_Deterrence theory
10.2466/pms.1983.57.2.447,Psychoanalysis_Psychology_Alliance_Applied psychology
10.1111/j.1570-7458.1990.tb01320.x,Host (biology)_Molecular biology_Larva_Manduca sexta_Tobacco leaf_Botany_Biology
10.1177/0095327x8601300111,Economics_Law and economics_Development economics_Deterrence theory
10.2307/2425228,Insect_Cirsium_Botany_Biology
10.1007/bf00317386,Understory_Cyclanthus bipartitus_Atta cephalotes_Leafcutter ant_Citrus paradisi_Host plants_Herbivore_Botany_Biology_Correlation and dependence
10.1353/sais.1985.0022,Political science_Law and economics_Deterrence theory
10.1007/bf00994599,Plant defense against herbivory_Gramine_Geraniol_Carvone_Umbelliferone_Ursolic acid_Salicin_Tannic acid_Toxicology_Traditional medicine_Biology
10.1096/fasebj.6.10.1634043,Scarcity_Pathology_Health care_Disease_Primary care_Medical screening_Carrier screening_Family medicine_Medicine
10.2307/20041750,International trade_Political science_Security study_Deterrence theory
10.1080/00455091.1987.10716457,Philosophy of law_Economics_Law and economics_Model Penal Code_Crime rate_Deterrence theory
10.1126/science.232.4753.1014-a,Epistemology_Psychology_Persuasion_Deterrence theory
10.1126/science.238.4826.455-a,International trade_Political science_Nuclear weapon_Negotiation_Element (criminal law)_Distrust_National security_Arms control_Nuclear ethics_Politics
10.1016/0003-9993(86)90089-4,Suspension (vehicle)_Physical therapy_Suction_Amputation_Prosthesis_Prosthetist_Amputation stumps_Orthodontics_Residual limb_Medicine_Correlation and dependence
10.3886/icpsr07716,No data.
10.1080/01402398608437275,Political science_Law_Deterrence theory
10.1007/bf00980216,Glycoside hydrolase_Sucrase_Castanospermum_Maltase_Trehalase_Castanospermine_Trehalase activity_Lactase activity_Biochemistry_Biology
10.5032/jae.1992.04039,Sociology_Pedagogy_Secondary education_Agricultural education_Counselor education
10.2307/3323965,Political science_Law and economics_Deterrence theory_Economic system
10.1016/s0363-5023(83)80001-x,Reconstructive surgery_Surgery_Upper limb_Thumb_Contracture_Metacarpophalangeal joint_Tendon_Splints_Hand surgery_Medicine
10.1177/001083678401900105,International trade_Political science_Nuclear weapon_Free zone
10.1007/bf00980210,Bioassay_Horticulture_Glycoside_PEST analysis_Cucurbitaceae_Momordicine_Triterpene_Aulacophora foveicollis_Bitter gourd_Botany_Biology
10.2307/3480421,No data.
10.1007/bf00138347,Sociology_Ideology_Law and economics_Cornerstone_Nuclear ethics_Deterrence theory_Criminology
10.2466/pr0.1987.60.3.759,Developmental psychology_Psychology_Facial expression_Tongue_Social desirability_Interrupt_Social psychology_Interpersonal relationship
10.1515/auk-1987-1-208,Economics_Just war theory_Law and economics_Deterrence theory
10.2307/1962673,Complete information_Economics_Microeconomics_CONTEST_Assured destruction_Sequential bargaining_Market economy_Adversary
10.1007/978-1-349-08131-8_11,Economics_Aeronautics_Nuclear weapon_Nuclear force_Cruise missile_Deterrence theory
10.1515/auk-1987-1-203,Economics_Law and economics_Law_Deterrence theory
10.1111/j.1570-7458.1990.tb01312.x,Chemoreceptor_Molecular biology_Pieris brassicae_Ginkgo biloba_Ginkgo_Ginkgolide-A_Gingko biloba_Plant composition_Food intake_Botany_Biology
10.3109/10826088609074849,Criminal justice_Political science_Occupational safety and health_Injury prevention_Law_Conviction_Legislation_Poison control_Suicide prevention_Deterrence theory
10.1016/s1010-5182(87)80076-8,Biomedical engineering_Soft tissue_Ultrasound_Dentistry_Oral mucosa_Diagnostic aid_Air space_Transducer_Medicine_Acoustic attenuation_Ultrasonic sensor
10.1126/science.225.4659.268,International trade_Nuclear winter_Political science_Deterrence theory
10.1111/j.1468-0130.1986.tb00084.x,Political science_Law_Nuclear peace_Deterrence theory
10.1111/j.1365-2311.1985.tb00535.x,Habitat_Predation_Ecology_Cicindela_Tiger beetle_Body size_Predator avoidance_Biology_Tiger_Predator
10.1007/bf01020314,Juvenile_Plant defense against herbivory_Betulaceae_Pinosylvin_Alder_Ether_Snowshoe hare_Botany_Biology_Plant stem
10.1016/0090-5720(87)90048-9,Positive economics_Economics_Capital punishment_Deterrence theory_Criminology
10.1086/292657,Commit_Political science_Spite_Skepticism_Law and economics_Nuclear weapon_Morality_Opposition (planets)_Deontological ethics_Deterrence theory
10.1177/03058298860150020201,Political science_Law_Creed_Nuclear strategy_Deterrence theory
10.14219/jada.archive.1985.0011,Dentistry_Alveoloplasty_Gingivoplasty_MEDLINE_Subgingival Curettage_Dental cavity preparation_Periodontal attachment_Medicine
10.1080/05679328608448766,Economics_Industrial organization_Arms control_Deterrence theory
10.7312/lebo90812-002,No data.
10.1177/106002808902300902,Risk assessment_Internal medicine_Endocrinology_Fetus_Intensive care medicine_Pregnancy_Drug_Substance abuse_Gestation_Medicine
10.1017/cbo9780511625145.010,Engineering_Law and economics_Nuclear weapon_Law_No first use_Peace movement_Disarmament_Federal republic of germany_Cost effectiveness_Arms control_Deterrence theory
10.1016/s0749-3797(18)30837-7,Socioeconomic status_Psychology_MEDLINE_Mammography_Screening mammography_Incentive_Relative significance_Patient compliance_Family medicine_Breast cancer
10.1007/bf00988308,Host (biology)_Larva_Lepidoptera genitalia_Spruce budworm_Balsam_Tortricidae_Choristoneura fumiferana_Black spruce_Botany_Biology
10.7312/lebo90812-011,No data.
10.1021/jm00174a001,Enzyme_Chemistry_Aldehyde dehydrogenase_Nitroxyl_Enzyme inhibitor_Alcohol dehydrogenase_Catalase_Cyanamide_Alcohol_Stereochemistry
10.2307/1924188,Profitability index_Labour economics_Economics_Microeconomics_Profit (economics)_Free entry_Monopoly_Economies of scale_Deterrence theory_Property rights_Cost curve
10.2307/1938056,Host (biology)_Foraging_Ecology_Shoot_Grassland_Shrub_Grasshopper_Orthoptera_Gutierrezia microcephala_Biology
10.2307/40202385,Political science_Faith_Deterrence theory_Criminology
10.1590/s0074-02761987000700013,No data.
10.1080/00455091.1987.10715917,Political science_Perception_Computer security_Spanish Civil War
10.4159/9780674043510-001,Economics_Law and economics_Liability_Strict liability_Deterrence theory
10.1126/science.224.4655.1306,Control communications_Business_Vulnerability_Nuclear weapon_Ambiguity_Survivability_National leadership_Positive control_Computer security_Deterrence theory
10.2307/2555548,Complete information_Oligopoly_Information asymmetry_Market structure_Economics_Microeconomics_Bayesian game_Industrial organization_Deterrence theory
10.1126/science.225.4659.268-a,No data.
10.1007/978-1-349-10502-1_12,Political science_Law and economics_Phrase_Flexible response_Alliance_Warsaw pact_Deterrence theory
10.2307/2538791,Political economy_German_Political science_Nuclear weapon_Deterrence theory
10.1016/0305-1978(86)90103-1,Lepidoptera genitalia_Glycoside_PEST analysis_Psilotum nudum_Psilotaceae_Insect_Ostrinia_Tmesipteris tannensis_Botany_Biology
10.2307/3323884,Sociology_Law_International security_Deterrence theory
10.1080/01639625.1987.9967741,Psychology_Official statistics_Doctrine_Specific deterrence_Laboratory experiment_Environment controlled_Deterrence theory_Criminology_Certainty_Social psychology
10.1007/bf01012081,Terpenoid_PEST analysis_Cephalotes_Acromyrmex octospinosus_Caryophyllene_Hymenoptera_Aculeata_Atta cephalotes_Botany_Biology
10.1111/j.1533-8525.1984.tb02239.x,Psychology_Sanctions_Causal order_Social control_Social psychology_Deviance (sociology)
10.1515/auk-1987-1-210,Philosophy_Theology_Dilemma
10.1299/kikaic.58.923,Acceleration_Engineering_Control engineering_Vibration_Objective method_Manufacturing systems_Chatter vibration_Self excited_Deterrence theory
10.1111/j.1467-8462.1984.tb00460.x,Economics_Common law_Law_Commission_Law reform_Negligence Law_Occupational licensing_No-Fault Insurance_Econometric analysis_Deterrence theory
10.2307/3791309,Psychology_Deterrence theory_Criminology
10.1016/s0301-0503(83)80031-9,Surgery_Disease_Concomitant_Malignancy_Wound healing_White male_Radical radiotherapy_Surgical resection_Radiation therapy_Medicine
10.13021/g8pppq.31983.1295,Political science_Deterrence theory_Criminology
10.2307/2538957,Political science_Market economy_Deterrence theory
10.1007/978-1-349-10467-3_3,Political science_Law and economics_Law_Deterrence theory
10.5254/1.3536017,Nanotechnology_Materials science_Conductive coating_High resolution_Polymer
10.1515/9781400856121.ix,No data.
10.1037/e382552004-025,No data.
10.5962/bhl.title.47930,Engineering_System a_Operations research_Deterrence theory
10.1126/science.223.4638.775,Political science_Deterrence theory_Criminology
10.1111/j.1475-4932.1984.tb00851.x,Political science_Criminal behaviour_Criminal justice policy_Research findings_Deterrence theory_Criminology
10.2307/1957086,No data.
10.1177/03058298890180020321,Political economy_Political science_Deterrence theory_Economic history
10.1016/0002-9610(86)90246-1,Surgery_Calcinosis_Popliteal artery_Calcification_Arterial Occlusive Diseases_Group ii_Blood vessel prosthesis_Arterial calcification_Arterial wall_Medicine
10.1080/00288233.1985.10427000,Mycelium_Perennial plant_Festuca arundinacea_Lolium perenne_Endophyte_Weevil_Listronotus bonariensis_Poaceae_Botany_Biology
10.1016/0305-1978(86)90071-2,Acrididae_Flavan_Insect_Maytenus_Orthoptera_Celastraceae_Tannin_Botany_Biology
10.1111/j.1468-0130.1984.tb00528.x,Political science_Law_Nuclear peace
10.5840/monist198770318,Epistemology
10.1007/bf00728489,Psychology_Deterrence theory_Criminology
10.4102/sajbm.v18i1.993,Balance of payments_Business_Manufacturing_International economics_Balance of trade_Export performance_Trade partner
10.1192/pb.11.1.26,Economics_Law and economics_Deterrence theory
10.1177/019145378401000312,Economics_Law and economics_Deterrence theory
10.5840/thought19845919,Sociology_Law_CLARITY_Deterrence theory_Criminology
10.1007/bf01020171,Host (biology)_PEST analysis_Aphid_Aphididae_Homoptera_Coumestrol_Phytoalexin_Acyrthosiphon pisum_Botany_Biology
10.1007/978-1-349-08131-8_8,Political science_Law and economics_Nuclear weapon_Weapon system_Relative strength_Civil defense_Deterrence theory
10.1111/j.1540-4560.1987.tb00262.x,Political science_Law and economics_Deterrence theory
10.1177/016555158701300302,Political economy_Ideology_Political science_Information industry_Ethnology_Information policy_Electronic information_De regulation_Realism_Liberalization_Politics
10.2307/3495133,Lepidoptera genitalia_Spodoptera_Noctuidae_Fall armyworm_Instar_Toxicology_Biology
10.1515/9781400856121.273,No data.
10.1007/978-1-349-21720-5,No data.
10.1177/0095327x8701300318,Political science_Deterrence theory_Criminology
10.1017/s0012217300016796,Philosophy_Political economy_Nuclear strategy_Deterrence theory_Classics
10.1007/bf01297312,Public economics_Economics_Public finance_Sanctions_Misconduct_International exchange_Deterrence theory
10.1007/978-1-4613-8625-4_10,No data.
10.1007/978-1-349-11524-2_2,Economics_Law and economics_Nuclear weapon_Deterrence theory_Politics_Irrational number
10.1136/oem.43.6.387,Internal medicine_Endocrinology_Arginase_Chemistry_Deoxyuridine monophosphate_Uridine monophosphate_5'-nucleotidase_Protoporphyrin_Thymidine monophosphate_Zinc protoporphyrin_Environmental exposure_Biochemistry
10.7326/0003-4819-107-2-181,Ophthalmology_Surgery_Pupillary response_Fundus (eye)_Dilation (morphology)_Eye disease_Pupil_Mydriasis_Tropicamide_Office visits_Medicine
10.2307/464755,Infantry_Reciprocity (social psychology)_Law_Doctrine_Military capability_Diplomacy_Deterrence theory_Foreign policy_Politics_History
10.1016/0007-6813(85)90087-4,Military strategy_Competitor analysis_Business_Market share_Industrial organization_Deterrence theory_Strategic management
10.1007/978-1-349-17082-1_8,Engineering_International trade_Nuclear weapon_Nuclear force_Threatened species_Weapon system_Premise_Aggression_Security study_Western europe_Environmental protection
10.1177/08959374890030010501,Transgene_Oral microbiology_Immunology_Isotype_Disease_Immunity_Specific-pathogen-free_Infectious disease (medical specialty)_Biology_Immune system
10.2307/1191688,Criminal justice_Political science_Law_Crime control_Discretion_Notice_Law enforcement_License_Criminal justice ethics_Deterrence theory_Criminology
10.1007/bf01966178,Bioassay_Terpenoid_Silphidae_Silpha_Pregnane_Carrion beetle_Exocrine secretion_Chemical defense_Botany_Biology
10.1111/j.1465-7287.1987.tb00260.x,Nonmarket forces_Socioeconomic status_Demography_Psychology_Developed country_Childbirth_Marital status_Population_Socioeconomics_Fertility_Developing country
10.1111/j.1468-2311.1983.tb00475.x,Political science_Crime control_Crime prevention_Cost of living_Public support_Criminology
10.5840/philcontext1985156,Political science_Sovereignty_Law_Deterrence theory
10.1177/016224398300800302,No data.
10.1177/0095327x8401100103,Tactical nuclear weapon_Engineering_Political economy_Nuclear weapon_Blitzkrieg_Accident prevention_Poison control_Injury control_Computer security_Deterrence theory
10.2307/134975,Economics_Homicide_Deterrence theory_Criminology
10.1021/jm00376a019,Chemistry_In vivo_Aldehyde dehydrogenase_Chloral_Pargyline_Acetaldehyde_Ethanol_Acrolein_Alcohol_Pharmacology
10.1111/j.1570-7458.1989.tb01228.x,Bioassay_Horticulture_Thiram_Meliaceae_Tetramethylthiuram disulfide_Diabrotica undecimpunctata_Toxicity_Zea mays_Screening procedures_Botany_Biology
10.33584/jnzg.1986.47.1725,Endophyte_Insect_Acremonium_Weevil_Listronotus bonariensis_Toxicity_Botany_Agronomy_Biology
10.1016/0305-1978(83)90041-8,PEST analysis_Sesquiterpene_Curculionidae_Dermestidae_Trogoderma granarium_Toxicology_Enantiomer_Botany_Biology
10.1002/ps.2780210203,Larva_Pyrrhocoridae_Hatching_Aedes aegypti_Geraniol_Anopheles stephensi_Instar_Botany_Juvenile hormone_Biology_Zoology
10.1037/e506172009-016,No data.
10.1111/j.1440-1673.1992.tb03094.x,Physical therapy_Tenderness_Mammography_Screening mammogram_Screening mammography_Breast screening_Mammography screening_Mass screening_Medicine
10.1093/acprof:oso/9780198277545.003.0005,Political economy_Political science
10.1017/s0017257x00016869,No data.
10.1093/ee/19.5.1278,Glyceollin_Phaseolus_Leaf beetle_Phytoalexin_Epilachna varivestis_Cerotoma trifurcata_Coccinellidae_Diabrotica undecimpunctata_Botany_Biology
10.1111/j.1745-9125.1985.tb00367.x,Psychology_Household income_Cable television_Social control_Deterrence theory_Social psychology
10.2307/20043301,No data.
10.1177/0951692892004002001,Complete information_Positive economics_Economics_Cognition_Microeconomics_Game theory_Rationality_Incentive_Reputation_Deterrence theory_Foreign policy
10.1086/292531,Nuclear warfare_Political science_Law and economics_Scrutiny_Sanctions_Body politic_Utilitarianism_Deontological ethics_Deterrence theory_Nuclear energy policy
10.1021/cen-v063n011.p013,Chemical warfare_Engineering_Law_Chemical weapon_Pentagon_Voting_Artillery
10.1177/0095327x8301000102,Economics_Law and economics_Deterrence theory
10.1353/sais.1987.0001,Political economy_Political science_Foreign policy analysis_Law_Zionism_Deterrence theory_Foreign policy_Politics
10.1300/j114v05n01_05,No data.
10.1159/000183833,Pharmacokinetics_Surgery_Minimum inhibitory concentration_Vancomycin_Staphylococcus aureus_Peritonitis_Continuous ambulatory peritoneal dialysis_Treatment strategy_Anesthesia_Antibiotics_Medicine
10.1007/bf01012122,Bioassay_Terpenoid_Moiety_Isoflavonoid_Flavonoid_Isoflavones_Costelytra zealandica_High activity_Stereochemistry_Biology
10.1111/j.1745-9125.1987.tb00789.x,Public economics_Public policy_Public health_Business_Empirical evidence_Gun ownership_Computer security_Deterrence theory
10.1016/s0031-9422(00)80477-x,Legume_Onobrychis viciifolia_Insect_Forage_Costelytra zealandica_Botany_Biology
10.1177/096701069102200209,Ancient history_Israel palestine_Mandatory Palestine_History of Israel_History
10.1039/c39860000935,Chemistry_Perennial plant_Endophyte_Insect_Major <insect>_Acremonium loliae_Endophytic fungus_Botany
10.1080/00094056.1985.10520708,Sociology of punishment_Psychology_Corporal punishment_Spanking_Barbarism_Child abuse_Criminology_Social psychology
10.1203/00006450-199212000-00015,Internal medicine_Endocrinology_Lipolysis_Adipose tissue_Theophylline_Carbohydrate_Energy metabolism_Energy expenditure_Glucose production_Metabolism_Medicine
10.4039/ent11641-1,PEST analysis_Pissodes strobi_Curculionidae_Pine oil_Weevil_Botany_Agronomy_Biology
10.1177/004056398604700426,Political science_Law_Morality_Deterrence theory_Criminology
10.1111/j.1440-6055.1985.tb00178.x,Phytochemical_Lucilia cuprina_Neem oil_Sheep blowfly_Traditional medicine_Botany_Biology
10.1111/j.1465-7295.1986.tb01837.x,Macroeconomics_Economics_Statute_Deadweight loss_Law and economics_Economic welfare_Litigation strategy_Damages_restrict_Monopoly
10.1136/bmj.294.6586.1539,Nuclear warfare_Health care rationing_Resource allocation_Public administration_Computer science_Operations research_Preventive healthcare_Developing country_Politics
10.2307/439594,Political economy_Demography_Political science
10.5840/thought19845917,Sociology_Deterrence theory_Criminology
10.1111/j.1747-7093.1987.tb00513.x,Economics_Sovereignty_Law and economics_Law_Superpower_World order_Soviet union_Deterrence theory_Foreign policy
10.1177/016224398300800303,Political science_Law_Bishops_Public administration_Deterrence theory_Serpent (symbolism)
10.1080/00396338508442216,Political science_Deterrence theory_Criminology
